fips_code,data_centers,total_power_usage_kwh,total_carbon_emission_2023_tons
8035,"['Flexential Denver - Englewood Data Center', 'OneNeck Denver', 'EdgeConneX Denver - EDCDEN01', 'DataBank DEN1 - Englewood', 'Centersquare - Denver DEN1-A', 'EdgeConneX Denver - EDCDEN02', 'Centersquare - Denver DEN2', 'Centersquare - Denver DEN1-B', 'Verizon Denver']","[27448.0, 27448.0, 27448.0, 27448.0, 27448.0, 27448.0, 27448.0, 27448.0, 27448.0]","[111761.7783, 111761.7783, 111761.7783, 111761.7783, 111761.7783, 111761.7783, 111761.7783, 111761.7783, 111761.7783]"
8041,"['Amazon AWS PDX - Powerline Campus', 'Amazon AWS PDX - 80817 Powerline', 'Novva Colorado Springs', 'T5 Data Centers - T5@Colorado Springs', 'Windstream Colorado Springs', 'Plaza of the Rockies West Tower']","[58840.94495, 58840.94495, 27448.0, 27448.0, 27448.0, 27448.0]","[111761.7783, 111761.7783, 111761.7783, 111761.7783, 111761.7783, 111761.7783]"
8059,"['Colorado Colo', 'DataBank DEN4 - Westminister']","[27448.0, 27448.0]","[111761.7783, 111761.7783]"
8093,['Bestline Communications'],[78464.60072],[111761.7783]
9110,"['CBTS South Bend Data Center I', 'The Computer Company Inc.']","[5071.578947, 4380.0]","[32352.16122, 32352.16122]"
9140,"['Lumen Hayward 1', 'Amazon AWS IAD - 1304 Squire', 'CAPS']","[33566.97482, 71566.85412, 4380.0]","[32352.16122, 32352.16122, 32352.16122]"
9170,"['Gotspace Wallingford 1 Campus', 'Gotspace Wallingford 2 - Building 3', 'Gotspace Wallingford 1 - Building 2', 'Gotspace Wallingford 2 - Building 1', 'Gotspace Wallingford 1 - Building 1', 'Gotspace Wallingford 2 - Building 6', 'Gotspace Wallingford 1 - Building 3', 'Gotspace Wallingford 2 - Building 7', 'Gotspace Wallingford 2 Campus', 'Gotspace Wallingford 2 - Building 4', 'Gotspace Wallingford 2 - Building 5', 'Gotspace Wallingford 2 - Building 2', 'CVM', 'Lumen New Haven', 'ChimeNet, Inc,']","[4380.0, 4380.0, 4380.0, 4380.0, 4380.0, 4380.0, 4380.0, 4380.0, 4380.0, 4380.0, 4380.0, 4380.0, 4380.0, 4380.0, 4380.0]","[32352.16122, 32352.16122, 32352.16122, 32352.16122, 32352.16122, 32352.16122, 32352.16122, 32352.16122, 32352.16122, 32352.16122, 32352.16122, 32352.16122, 32352.16122, 32352.16122, 32352.16122]"
9180,"['Gotspace Norwich Campus', 'Gotspace Bozrah Campus', 'Gotspace Bozrah - Building 3', 'Gotspace Norwich - Building 2', 'Gotspace Norwich - Building 3', 'Gotspace Bozrah - Building 1', 'Gotspace Bozrah - Building 2', 'Gotspace Norwich - Building 1', 'Gotspace Griswold 2 Campus', 'Gotspace Griswold 2 - Building 7', 'Gotspace Griswold 2 - Building 6', 'Gotspace Griswold 2 - Building 4', 'Gotspace Griswold 2 - Building 5', 'Gotspace Groton North Campus', 'Gotspace Groton South Campus', 'Gotspace Groton North - Building 3', 'Gotspace Groton South - Building 3', 'Gotspace Groton North - Building 2', 'Gotspace Groton North - Building 1', 'Gotspace Groton South - Building 1', 'Gotspace Groton South - Building 2']","[4380.0, 4380.0, 4380.0, 4380.0, 4380.0, 4380.0, 4380.0, 4380.0, 4380.0, 4380.0, 4380.0, 4380.0, 4380.0, 4380.0, 4380.0, 4380.0, 4380.0, 4380.0, 4380.0, 4380.0, 4380.0]","[32352.16122, 32352.16122, 32352.16122, 32352.16122, 32352.16122, 32352.16122, 32352.16122, 32352.16122, 32352.16122, 32352.16122, 32352.16122, 32352.16122, 32352.16122, 32352.16122, 32352.16122, 32352.16122, 32352.16122, 32352.16122, 32352.16122, 32352.16122, 32352.16122]"
9190,"['Whitelabel ITSolutions', 'CyrusOne NYM10 - Stamford', 'Crown Castle Stamford 2', 'Crown Castle Stamford 1', 'CyrusOne NYM5 - Norwalk']","[60274.02985, 4380.0, 4380.0, 4380.0, 4380.0]","[14157.76543, 14157.76543, 14157.76543, 14157.76543, 32352.16122]"
10003,"['Lumen Newark 1', 'DaSTOR New Castle', 'TRIJIT DATACENTER', 'Data Canopy - Newark']","[60274.02985, 96170.32, 96170.32, 96170.32]","[14157.76543, 14157.76543, 14157.76543, 14157.76543]"
11001,"['QTS Miami', 'Volico Deerfield', 'QTS Atlanta Metro DC2', 'H5 Data Centers Quincy', 'CyrusOne PNW1 - Quincy', 'SDC Quincy', 'Vantage WA1 - Quincy', 'CoreSite D.C. (DC2)', 'Cogent Data Center - Washington, DC 1', 'CoreSite D.C. (DC1)', 'Cogent Data Center - Washington, DC 2', 'Lumen Washington DC 2', 'DataBank - zColo - 2100 M St', '1120 Vermont Avenue NW', '1220 L Street NW', 'Oso Grande Technologies', 'Integris Braham']","[11252.68293, 11252.68293, 73516.55952, 58108.0, 58108.0, 58108.0, 58108.0, 97396.44, 97396.44, 97396.44, 97396.44, 97396.44, 97396.44, 97396.44, 97396.44, 44773.33333, 18318.13333]","[14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543]"
12001,"['Hivelocity - Miami 1', 'Equinix MI1 (NAP of the Americas)', 'Lumen Miami 4', 'IPXON Miami', 'Lumen Fort Lauderdale 1', 'Windstream Des Moines']","[11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 206444.0]","[85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142]"
12009,"['ndtHOST', 'Sarcom Direct Data Center', 'Lumen Melbourne 1', 'Lumen South Brunswick 1']","[11252.68293, 11252.68293, 11252.68293, 60274.02985]","[85335.14142, 85335.14142, 85335.14142, 85335.14142]"
12011,"['AT&T Miami', 'Volico Fort Lauderdale', 'Flexential Fort Lauderdale Data Center', '365 Data Centers - Fort Lauderdale', 'OneNeck Phoenix']","[11252.68293, 11252.68293, 11252.68293, 11252.68293, 77200.83951]","[85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142]"
12021,['Digital Cloud Vault'],[11252.68293],[85335.14142]
12031,"['Windstream Dallas', 'Flexential Jacksonville Data Center', 'TierPoint Jacksonville', 'Cologix JAX1', 'EdgeConneX Jacksonville - EDCJAX01', 'Cologix JAX2', 'ScaleMatrix Jacksonville', 'Windstream Jacksonville', 'SBA Edge JaxNAP', 'Lumen Jacksonville 1', 'CSX Data Center', 'Remington Technology Park', 'Amazon AWS IAD - Atlantic Blvd Campus', 'Amazon AWS IAD - 21195 Atlantic Blvd', 'Cologix MIN1']","[78464.60072, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 71566.85412, 71566.85412, 71566.85412, 18318.13333]","[85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142]"
12057,"['Hivelocity - Tampa 1', 'Hivelocity - Tampa 2', 'Flexential Tampa - West Data Center', 'Datatech Hosting Tampa', 'Centersquare - Tampa TPA1', 'Cogent Data Center - Tampa', '365 Data Centers - Tampa', 'E Solutions', 'Lumen Tampa 1', 'Verizon Tampa', 'Lumen Tampa 4', 'Lumen Tampa 2', 'IT Support Guys - Tampa', 'Hostway Tampa Franklin', 'Park Tower', 'Acehost.com', 'HostDime Orlando', 'Signal Hill Telecom Center', 'Atlantic.Net']","[11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293]","[85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142]"
12073,"['EdgeConneX Tallahassee-EDCTAL01', 'Lumen Tallahassee', 'Lumen Tallahassee 2', 'Pavlov Media FL']","[11252.68293, 11252.68293, 11252.68293, 11252.68293]","[1215631.103, 1215631.103, 1215631.103, 1215631.103]"
12083,['OVHcloud HIL1'],[58840.94495],[85335.14142]
12085,['Communication Square'],[11252.68293],[85335.14142]
12086,"['T5 Data Centers - T5@Silicon Valley', 'Apple Newark Data Center', 'H5 Data Centers Portland', 'Iron Mountain Data Centers MIA-1', '2300 NW 89th Pl (MIA11)', 'KeyCenter', 'Cogent Data Center - Miami', 'Aptum Miami', 'Nabiax Key Center', 'EdgeConneX Miami - EDCMIA02', 'MIA2', 'EdgeConneX Miami - EDCMIA01', 'Equinix MI6', 'Volico Miami 1', 'iM Critical Miami Data Center', 'Equinix MI2', 'Lumen Miami 5', 'Verizon Miami', 'Lumen Miami', 'Lumen Miami 3', 'Net Data', 'Digiport DataCenter', 'BurstNET - Miami DC1', 'Nettogo', 'Virtual Servers Data Center', '200 Technology Center', 'Volico', '3500 NW', 'Gainesville Data Center', 'WORLDLINK South Datacenter', 'Meta Kansas City Data Center', 'Litewire']","[33566.97482, 33566.97482, 58840.94495, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 58108.0, 24309.0, 28850.86957]","[85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142]"
12087,['DataBank ATL2 - Atlanta West End'],[73516.55952],[85335.14142]
12093,['Lumen Amarillo 1'],[78464.60072],[85335.14142]
12095,"['CoreSite Orlando (OR1)', 'HostDime Orlando 2', 'Cogent Data Center - Orlando', 'Colo Solutions Orlando', 'Lumen Orlando', 'Lumen Orlando 2', 'Lumen Orlando 3', 'Corserva Orlando', 'Smart City', 'DC BLOX Palm Coast', 'CyrusOne NVA4 - Sterling', 'Centersquare - Washington DC IAD2-A', 'Amazon AWS IAD - International Campus', 'Amazon AWS IAD - 23005 International', 'Centersquare - Washington DC IAD2-B', 'Amazon AWS IAD - 22868 International', 'OTAVA Mid-Michigan']","[11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 71566.85412, 71566.85412, 71566.85412, 71566.85412, 71566.85412, 71566.85412, 10305.88235]","[85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142]"
12099,"['Equinix  MI3', 'Cogent Data Center - Boca Raton', '365 Data Centers-Boca Raton-Ph. 3&4', '365 Data Centers-Boca Raton-Phase 2', 'Axios Hosting', 'Lumen West Palm Beach 1', 'Lumen Birmingham 2']","[11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 99280.0]","[85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142, 85335.14142]"
12103,"['American Tower EDC Jacksonville', 'Evocative SEA1', 'Lumen Nashville 3']","[11252.68293, 58108.0, 28850.86957]","[85335.14142, 85335.14142, 85335.14142]"
12105,"['Thrive US - Winter Haven', 'Verizon Boston #2', 'Verizon Boston', 'TenHats Knoxville']","[11252.68293, 20830.76471, 20830.76471, 28850.86957]","[85335.14142, 85335.14142, 85335.14142, 85335.14142]"
12111,['Data Shelter DS1'],[11252.68293],[85335.14142]
12127,"['Lumen Daytona Beach 1', 'Clear Rate Battle Creek POP']","[11252.68293, 10305.88235]","[85335.14142, 85335.14142]"
12129,['Prime Chicago Data Center Campus '],[49338.91391],[1215631.103]
13031,['Ubiquity Edge Data Center'],[73516.55952],[40870645.97]
13045,['FOGO Solutions - Atlanta Region'],[73516.55952],[143233.4815]
13067,"['CoreSite Atlanta (AT2)', 'Equinix AT4', 'Coloblox Marietta Data Center', 'Verizon Atlanta', 'Cologix NNJ2', 'Cologix NNJ4']","[73516.55952, 73516.55952, 73516.55952, 73516.55952, 60274.02985, 60274.02985]","[217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691]"
13089,"['Windstream Atlanta', '40 Perimeter Center E']","[73516.55952, 73516.55952]","[217436.4691, 217436.4691]"
13097,"['Centersquare Lithia Springs', '101 Aquila Way (ATL11)', 'Flexential Atlanta - Douglasville 1 Data Center', 'Flexential Atlanta - Douglasville 2 Data Center', 'T5 Data Centers - T5@Atlanta 1', 'Centersquare - Atlanta ATL1', 'T5 Data Centers - T5@Atlanta Campus', 'T5 Data Centers - T5@Atlanta 4', 'T5 Data Centers - T5@Atlanta 5', 'T5 Data Centers - T5@Atlanta 2', 'T5 Data Centers - T5@Atlanta 3', 'Google Douglas County Data Center']","[73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952]","[217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691]"
13113,['QTS Atlanta-Fayetteville'],[73516.55952],[217436.4691]
13121,"['56 Marietta Street (ATL13)', '250 Williams St NW (ATL14)', 'Hivelocity - Atlanta 2', '10 Forsyth Street NW', 'CoreSite Atlanta (AT1)', 'H5 Data Centers Atlanta', 'ATL Data Center', 'Lunavi Atlanta', 'Cogent Data Center - Atlanta 1', 'DataBank ATL3 - Atlanta West End', 'DataBank ATL1 - Midtown Atlanta', 'DataBank ATL5 - Lithia Springs', 'Edged Atlanta ATL3', 'Edged Atlanta ATL2', 'Edged Atlanta ATL1', 'EdgeConneX Atlanta - EDCATL01', 'Edged Atlanta Campus', 'DataBank ATL4 - South Fulton', 'Volico Atlanta', 'Cogent Data Center - Atlanta 2', 'ColoCrossing GA1', 'Performive Atlanta Data Center 1', 'Performive Atlanta Data Center 2', 'Equinix AT2', 'Equinix AT3', 'Equinix AT1', 'Lumen College Park', 'Southern Telecom Atlanta', 'Lumen Atlanta', 'Lumen Atlanta 2', 'Lumen Atlanta 5', 'Atlanta Data Center', 'American Tower EDC Atlanta', '55 Marietta Street', 'Colo Atl', 'Peachtree Data Center', '470 Exchange', '365 Data Centers -  Alpharetta', 'STACK Infrastructure ATL01A']","[73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952]","[217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691]"
13135,"['Flexential Atlanta - Norcross Data Center', 'Equinix AT5', 'QTS Atlanta-Suwanee DC 1', 'Serverfarm ATL1', 'QTS Atlanta-Suwanee DC 2']","[73516.55952, 73516.55952, 73516.55952, 73516.55952, 73516.55952]","[217436.4691, 217436.4691, 217436.4691, 217436.4691, 217436.4691]"
13215,['JMF IXP Farm Columbus'],[73516.55952],[143233.4815]
13313,"['Lumen Corpus Christi 1', 'Core Scientific Dalton']","[78464.60072, 73516.55952]","[14157.76543, 14157.76543]"
15001,['Hawaiian Telcom - Kawaihae Data Center'],[1095.0],[nan]
15003,"['DRFortress - Honolulu, Hawaii', 'MTP Data Center', 'Hawaiian Telcom - Endeavor Data Center', 'University of Hawaii ITS Data Center', 'Lumen Honolulu', 'Puahale', 'AlohaNAP']","[1095.0, 1095.0, 1095.0, 1095.0, 1095.0, 1095.0, 1095.0]","[nan, nan, nan, nan, nan, nan, nan]"
16001,"['Fitchburg Fiber 166 Boulder', 'Ark Data Centers Boise 1', 'Tonaquint Boise Data Center', 'Ark Data Centers Boise 2', 'Meta Kuna Data Center']","[20830.76471, 29784.0, 29784.0, 29784.0, 29784.0]","[42351.41091, 42351.41091, 42351.41091, 42351.41091, 42351.41091]"
16043,['Flexential Salt Lake City - Fair Park Data Center'],[94890.25926],[42351.41091]
16055,"['DCX Goodyear', 'Fusion Connect - Coeur d Alene']","[77200.83951, 29784.0]","[187519.3123, 187519.3123]"
17019,"['ColocationPLUS Champaign', 'ColocationPLUS Rantoul']","[49338.91391, 49338.91391]","[14157.76543, 14157.76543]"
17031,"['Acorn Technology Services Data Center', '350 East Cermak Road (ORD10)', '600 S. Federal St. (ORD11)', 'Centersquare Lisle', '2200 Busse Road (CH1)', 'Iron Mountain Data Centers CHI-1', '9333 Grand Avenue (ORD12)', 'Stream DC Chicago I', '1400 East Devon Avenue (CH3)', 'Stream DC Chicago II', '2299 Busse Road (CH2)', 'Hivelocity - Chicago 1', 'Deft Elk Grove Village', 'Netrality - 717 S Wells', 'TierPoint Chicago - Polk', 'TierPoint Chicago - West', 'CoreSite Chicago (CH1)', 'Deft Chicago', '725 S. Wells', 'Colocation America CHIDC1', 'Skybox Chicago I', 'CDW Elk Grove Data Center', 'CloudHQ ORD Campus', '365 Data Centers - Chicago 1', 'DataBank ORD3 - Mount Prospect', 'DataBank ORD1 - Downtown Chicago', 'STACK Infrastructure CHI01B', 'Metro Edge IMD1', 'Cogent Data Center - Chicago 2', 'QTS Chicago', 'Rackspace Chicago', 'STACK Infrastructure CHI01A', 'EdgeConneX Chicago - EDCCHI02', 'Apotech', 'Equinix CH4', 'Midway Technology Center', 'ColoCrossing CH1', 'ColoHouse Chicago Cermak', 'EdgeConneX Chicago - EDCCHI01', 'ColoHouse Chicago Wells', 'Chicago Exchange', 'Ascent CH2', '365 Data Centers - Chicago 2', 'CloudHQ ORD2', 'T5 Data Centers - T5@Chicago lll', 'CloudHQ ORD3', 'CloudHQ ORD1', 'Equinix CH2', 'Equinix CH1', 'Lumen Chicago 3', 'Equinix CH3', 'Centersquare - Chicago ORD1-A', 'GigeNET Chicago', 'Volico Chicago', 'Lumen 350 E Cermak', 'Synoptek - Chicago Data Center', 'Lumen Broadview 1', 'Centersquare - Chicago ORD1-B', 'Lumen Chicago 5', 'Lumen Chicago 4', 'First Communications Data Center', 'Schaumburg', 'Chicago Board of Trade Building', '600 West Chicago Avenue', 'FDCservers.net Chicago', 'CBOT Data Center', 'Axon Datacenter', 'Lumen Chicago 2', 'Neutral Tandem', '427 LaSalle', '216 West Jackson Boulevard', 'Navisite Chicago', 'DLS Internet 216 Jackson', 'Hostway Boeing Data Center', 'OneColo', '655 North Franklin', 'Lumen Jacksonville', 'Lumen Jacksonville 2', 'Lumen Herndon 3', 'Lumen Herdon 1', 'TeraSwitch Networks - DC1', 'AiNET One Market Center', 'DataBank BWI1 - Downtown Baltimore', 'Lumen Baltimore']","[33566.97482, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 11252.68293, 11252.68293, 11252.68293, 11252.68293, 71566.85412, 71566.85412, 65574.85714, 3568.888889, 3568.888889, 3568.888889]","[14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543]"
17037,['Meta DeKalb Data Center'],[49338.91391],[14157.76543]
17041,['Equinix LA4'],[33566.97482],[14157.76543]
17043,"['NTT Chicago CH1', 'CyrusOne CHI2 - Aurora', 'T5 Data Centers - T5@Chicago', 'CyrusOne CHI1 - Aurora', 'Element Critical Chicago One', 'Colocation America CHIDC4', 'DataBank ORD4', 'NetSource Naperville 1', 'XNet Critical Computing Facility', 'Equinix CH7', 'LexisNexis Oak Brook', 'Edged Chicago ORD3', 'Edged Chicago ORD1', 'Edged Chicago ORD2', 'Edged Chicago Campus', 'WOWaccess Data Center', 'NetSource Naperville 2', 'Centersquare - Chicago ORD2', 'US Signal Oak Brook', 'Nexeon CHI1', '1808 Swift Drive', 'CBTS - Lombard', 'Worknet Naperville', 'Navisite Oak Brook', 'Aurora/Chicago', 'CyrusOne NYM2 - Totowa']","[49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 60274.02985]","[14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543]"
17093,"['Microsoft Plano (IL)', 'CyrusOne Yorkville Campus', 'CyrusOne Yorkville - Building 3', 'CyrusOne Yorkville - Building 7', 'CyrusOne Yorkville - Building 5', 'CyrusOne Yorkville - Building 6', 'CyrusOne Yorkville - Building 2', 'CyrusOne Yorkville - Building 4', 'CyrusOne Yorkville - Building 9', 'CyrusOne Yorkville - Building 8', 'CyrusOne Yorkville - Building 1']","[49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391, 49338.91391]","[14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543]"
17097,"['Chirisa Volo Technology Park', 'Chirisa Chirisa Volo Technology Park YLO-01', 'Chirisa Chirisa Volo Technology Park YLO-02', 'T5 Data Centers - T5@Grayslake Campus']","[49338.91391, 49338.91391, 49338.91391, 49338.91391]","[14157.76543, 14157.76543, 14157.76543, 14157.76543]"
17111,['DLS Internet LITH'],[49338.91391],[14157.76543]
17113,"['STL Data Center', 'Pearl Technology Bloomington Data Center']","[49338.91391, 49338.91391]","[14157.76543, 14157.76543]"
17119,['Cloudsmart'],[4380.0],[71061.76832]
17135,['viLogics'],[65574.85714],[71061.76832]
17143,['Pearl Technology Peoria Data Center'],[49338.91391],[71061.76832]
17197,['DX-1'],[5071.578947],[14157.76543]
17201,['DataPoint'],[49338.91391],[14157.76543]
18003,"['Lifeline Data Centers Fort Wayne', 'Google Fort Wayne Data Center', 'Indiana Data center']","[5071.578947, 5071.578947, 5071.578947]","[14157.76543, 14157.76543, 14157.76543]"
18019,['Meta Jeffersonville Data Center'],[5071.578947],[14157.76543]
18057,"['Expedient Indianapolis', 'ORI.NET Noblesville']","[5071.578947, 5071.578947]","[14157.76543, 14157.76543]"
18097,"['Tyler Vault.com', 'Cogent Data Center - Chicago 1', 'Edged Kansas City', 'Lifeline Data Centers Eastgate', 'US Signal Indianapolis North', 'OTAVA Indianapolis', 'DataBank IND - 800 Oliver DataBank', 'Lumen Indianapolis 1', 'Lumen Indianapolis 2', 'Oliver Street, LLC', 'LGI Broad Ripple']","[78464.60072, 49338.91391, 24309.0, 5071.578947, 5071.578947, 5071.578947, 5071.578947, 5071.578947, 5071.578947, 5071.578947, 5071.578947]","[14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543]"
18141,"['GAP Union Station', 'Microsoft Mishawaka', 'Aunalytics South Bend Data Center', 'Altafiber Blactkhorn', 'South Bend Data Center']","[5071.578947, 5071.578947, 5071.578947, 5071.578947, 5071.578947]","[14157.76543, 14157.76543, 14157.76543, 14157.76543, 14157.76543]"
18157,"['Wintek Data Center', 'Windstream Lafayette']","[5071.578947, 5071.578947]","[14157.76543, 14157.76543]"
19013,['Heartland Technology Data Center'],[206444.0],[111761.7783]
19041,['Great Lakes Colocation '],[206444.0],[111761.7783]
19049,"['123Net Grand Rapids DC4', 'OneNeck Des Moines', 'Microsoft Project Mountain', 'Microsoft Project Ginger West', 'Aureon Data Center']","[10305.88235, 206444.0, 206444.0, 206444.0, 206444.0]","[111761.7783, 111761.7783, 111761.7783, 111761.7783, 111761.7783]"
19083,['Colostore.com'],[5071.578947],[111761.7783]
19095,['Lumen Bakerfield 1'],[33566.97482],[111761.7783]
19105,"['US Secure Hosting Center', 'ITS Data Center']","[206444.0, 206444.0]","[143233.4815, 143233.4815]"
19113,"['Enseva Hiawatha', 'Ark Data Centers Marion']","[206444.0, 206444.0]","[111761.7783, 143233.4815]"
